std_type,stdium
bowl,Arun Jaitley Stadium
bat,Brabourne Stadium
bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
bowl,Dubai International Cricket Stadium
bat,Eden Gardens
bowl,Feroz Shah Kotla
bat,Green Park
bat,Holkar Cricket Stadium
bowl,JSCA International Stadium Complex
bat,M Chinnaswamy Stadium
bat,M Chinnaswamy Stadium
bowl,MA Chidambaram Stadium
bowl,MA Chidambaram Stadium
bowl,MA Chidambaram Stadium
bat,Maharashtra Cricket Association Stadium
bowl,Punjab Cricket Association IS Bindra Stadium
bowl,Punjab Cricket Association IS Bindra Stadium
bowl,Punjab Cricket Association IS Bindra Stadium
bat,Rajiv Gandhi International Stadium
bat,Rajiv Gandhi International Stadium
bowl,Narendra Modi Stadium
bat,Saurashtra Cricket Association Stadium
bowl,Sawai Mansingh Stadium
bowl,Shaheed Veer Narayan Singh International Stadium
bat,Sharjah Cricket Stadium
bat,Wankhede Stadium
bat,Wankhede Stadium
